,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
6403,Fukushima,"15 February,2012",Fukushima,Shinchi Town,"9 February,2012",______,"Sand crab
(Ovalipes  punctatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6888,Fukushima,"29 February,2012",Fukushima,Iwaki City,"27 February,2012",______,"Sand crab
(Ovalipes  punctatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7154,Fukushima,"7 March,2012",Fukushima,Iwaki City,"4 March,2012",______,"Sand crab
(Ovalipes  punctatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7450,Fukushima,"14 March,2012",Fukushima,Shinchi Town,"8 March,2012",______,"Sand crab
(Ovalipes  punctatus)",,7.8,Not detectable,,"Fukushima Agricultural Technology
Centre",7.8,ND,s,c,
8039,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Oarai Town","21 March,2012",______,"Sand crab
(Ovalipes  punctatus)",1.6,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.6,ND,s,c,
155,Ibaraki,"23 April, 2011",Ibaraki,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",______,"Sand crab
(Ovalipes punctatus)",,8,,22,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",8,22,s,c,
629,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",______,"Sand crab
(Ovalipes punctatus)",,360,,8.7,Japan Chemical Analysis  Center,360,8.7,s,c,
762,Ibaraki,"28 June, 2011",Ibaraki,"Offshore
Kashima City","27 June, 2011",______,"Sand crab
(Ovalipes punctatus)",,19,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",19,ND,s,c,
1095,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",______,"Sand crab
(Ovalipes punctatus)",,310,Not detectable,,"Fukushima Agricultural Technology
Centre",310,ND,s,c,
1301,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",______,"Sand crab
(Ovalipes punctatus)",,150,Not detectable,,"Fukushima Agricultural Technology
Centre",150,ND,s,c,
1320,Fukushima,"3 August, 2011",Fukushima,Mimami-soma City,"1 August, 2011",______,"Sand crab
(Ovalipes punctatus)",,34,Not detectable,,"Fukushima Agricultural Technology
Centre",34,ND,s,c,
1401,Fukushima,"10 August, 2011",Fukushima,Soma City,"3 August, 2011",______,"Sand crab
(Ovalipes punctatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
1402,Fukushima,"10 August, 2011",Fukushima,Mimami-soma City,"8 August, 2011",______,"Sand crab
(Ovalipes punctatus)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",27,ND,s,c,
1687,Fukushima,"31 August, 2011",Fukushima,Soma City,"26 August, 2011",______,"Sand crab
(Ovalipes punctatus)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",29,ND,s,c,
1795,Fukushima,"7 September,2011",Fukushima,Shinchi Town,"5 September,2011",______,"Sand crab
(Ovalipes punctatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
1878,Ibaraki,"13 September,2011",Ibaraki,"Offshore Hitachi-naka City and
Oarai Town","9 September,2011",______,"Sand crab
(Ovalipes punctatus)",,5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",5,ND,s,c,
2104,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",______,"Sand crab
(Ovalipes punctatus)",,105,Not detectable,,"Fukushima Agricultural Technology
Centre",105,ND,s,c,
2154,Fukushima,"21 September,2011",Fukusima,Soma City,"15 September,2011",______,"Sand crab
(Ovalipes punctatus)",,6.8,Not detectable,,"Fukushima Agricultural Technology
Centre",6.8,ND,s,c,
2316,Fukushima,"28 September,2011",Fukusima,Soma City,"26 September,2011",______,"Sand crab
(Ovalipes punctatus)",,10,Not detectable,,"Fukushima Agricultural Technology
Centre",10,ND,s,c,
3822,Ibaraki,"15 November ,2011",Ibaraki,"Offshore
Hitachi City","8 November ,2011",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
3823,Ibaraki,"15 November ,2011",Ibaraki,"Offshore
Hitachinaka City","10 November ,2011",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
4261,Kyoto,"25 November ,2011",Kyoto,Offshore Tango,-,_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,c,
4865,Ibaraki,"20 December,2011",Ibaraki,"Offshore
Kashima City","12 December,2011",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,c,
5140,Fukushima,"28 December,2011",Fukushima,Okuma Town,"21 December,2011",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5141,Fukushima,"28 December,2011",Fukushima,Okuma Town,"21 December,2011",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5612,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"18 January,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5613,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"18 January,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5614,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"19 January,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5836,Fukushima,"1 February,2012",Fukushima,Shinchi Town,"25 January,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5837,Fukushima,"1 February,2012",Fukushima,Soma City,"25 January,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6399,Fukushima,"15 February,2012",Fukushima,Shinchi Town,"10 February,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6400,Fukushima,"15 February,2012",Fukushima,Minami-soma City,"10 February,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6401,Fukushima,"15 February,2012",Fukushima,Namie Town,"6 February,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6402,Fukushima,"15 February,2012",Fukushima,Minami-soma City,"10 February,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6951,Fukushima,"29 February,2012",Fukushima,Tomioka Town,"20 February,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7444,Fukushima,"14 March,2012",Fukushima,Namie Town,"8 March,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7445,Fukushima,"14 March,2012",Fukushima,Minami-soma City,"8 March,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7446,Fukushima,"14 March,2012",Fukushima,Namie Town,"8 March,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7447,Fukushima,"14 March,2012",Fukushima,Minami-soma City,"8 March,2012",_____,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5367,Fukushima,"18 January,2012",Fukushima,Minami-soma City,"13 January,2012",_________,"Snow crab(female)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7768,Fukushima,"21 March,2012",Fukushima,Minami-soma City,"14 March,2012",_________,"Snow crab(female)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
5366,Fukushima,"18 January,2012",Fukushima,Minami-soma City,"13 January,2012",_________,"Snow crab(male)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7767,Fukushima,"21 March,2012",Fukushima,Minami-soma City,"14 March,2012",_________,"Snow crab(male)
(Chionoecetes opilio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
2507,Fukushima,"5 October,2011",Fukushima,Soma City,"29 September,2011",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
2706,Fukushima,"12 October,2011",Fukushima,Shinchi Town,"6 October,2011",___,"Swimming crab
(Portunus  trituberculatus)",,32,Not detectable,,"Fukushima Agricultural Technology
Centre",32,ND,s,c,
2707,Fukushima,"12 October,2011",Fukushima,Soma City,"7 October,2011",___,"Swimming crab
(Portunus  trituberculatus)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",12,ND,s,c,
2945,Fukushima,"19 October,2011",Fukushima,Minami-soma City,"14 October,2011",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
3649,Fukushima,"9 November ,2011",Fukushima,Minami-soma City,"5 November ,2011",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
4392,Fukushima,"30 November ,2011",Fukushima,Shinchi Town,"25 November ,2011",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
6397,Fukushima,"15 February,2012",Fukushima,Shinchi Town,"9 February,2012",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
7442,Fukushima,"14 March,2012",Fukushima,Shinchi Town,"8 March,2012",___,"Swimming crab
(Portunus  trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
1319,Fukushima,"3 August, 2011",Fukushima,Mimami-soma City,"1 August, 2011",___,"Swimming crab
(Portunus trituberculatus)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",55,ND,s,c,
1936,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",___,"Swimming crab
(Portunus trituberculatus)",,23,Not detectable,,"Fukushima Agricultural Technology
Centre",23,ND,s,c,
2255,Fukushima,"28 September,2011",Fukusima,Iwaki City,"26 September,2011",___,"Swimming crab
(Portunus trituberculatus)",,48,Not detectable,,"Fukushima Agricultural Technology
Centre",48,ND,s,c,
2312,Fukushima,"28 September,2011",Fukusima,Shinchi Town,"26 September,2011",___,"Swimming crab
(Portunus trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
2313,Fukushima,"28 September,2011",Fukusima,Soma City,"26 September,2011",___,"Swimming crab
(Portunus trituberculatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,c,
1637,Niigata,"25 August, 2011",Niigata,Myoko City,"23 August, 2011",__________,"Whiteleg shrimp(farmed)
(Litopenaeus vannamei)",Not detectable,,Not detectable,,"Niigata Prefecture Radiation
Monitoring Center",ND,ND,s,c,
