,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
3997,Miyagi,"16 November ,2011",,Miyagi,North Pacific off Japan (N35¡0_E147¡00),"4 November ,2011",____,"Albacore
(Thunnus alalunga)",,1.67,Not detectable,,Japan Chemical Analysis Center,1.67,ND,pelagic,s,f,2011,4 
4425,Miyagi,"30 November ,2011",,Miyagi,"Pacific Ocean
(N35¡00_E159¡00)",_,____,"Albacore
(Thunnus alalunga)",,2.07,Not detectable,,Japan Chemical Analysis Center,2.07,ND,pelagic,s,f,_,_
4790,Miyagi,"15 December,2011",,Miyagi,"Pacific Ocean
(N35¡00_E148¡00)","27 November ,2011",____,"Albacore
(Thunnus alalunga)",,3.9,Not detectable,,Japan Chemical Analysis Center,3.9,ND,pelagic,s,f,2011,27
4961,Miyagi,"21 December,2011",,Miyagi,North Pacific off Japan (N38¡33_E152¡42),"17
November,2011-13
December,2011",____,"Albacore
(Thunnus alalunga)",,0.59,Not detectable,,Japan Chemical Analysis Center,0.59,ND,pelagic,s,f,2011,17
5431,Miyagi,"18 January,2012",,Miyagi,"Offshore
Pacific Ocean","2 January,2012",____,"Albacore
(Thunnus alalunga)",,1.47,Not detectable,,Private inspection facility,1.47,ND,pelagic,s,f,2012,2 
5435,National Offshore Tuna Fisheries Association of Japan,"19 January,2012",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N34¡00_E141¡00),"The first ten days of
January",____,"Albacore
(Thunnus alalunga)",,1.4,Not detectable,,Private inspection facility,1.4,ND,pelagic,s,f,uary,Th
5649,Miyagi,"25 January,2012",,Miyagi,"Offshore
Pacific Ocean","21 December,2011",____,"Albacore
(Thunnus alalunga)",2.3,,Not detectable,,Private inspection facility,2.3,ND,pelagic,s,f,2011,21
5879,Miyagi,"1 February,2012",,Miyagi,"Offshore
Pacific Ocean",-,____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,-,-
6995,Miyagi,"29 February,2012",,Miyagi,"Offshore
Pacific Ocean",_,____,"Albacore
(Thunnus alalunga)",,1.68,Not detectable,,Japan Chemical Analysis Center,1.68,ND,pelagic,s,f,_,_
8298,Miyagi,"28 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,____,"Albacore
(Thunnus alalunga)",,0.53,Not detectable,,Japan Chemical Analysis Center,0.53,ND,pelagic,s,f,_,_
8431,Miyagi,"30 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,____,"Albacore
(Thunnus alalunga)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,_,_
5665,Kanagawa,"26 January,2012",,Kanagawa,"Manazuru Town
(Manazuru Port)","23 January,2012",___,"Bigeye scad
(Selar crumenophthalmus)",0.65,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.65,ND,pelagic,s,f,2012,23
1823,Miyagi,"7 September,2011",,Miyagi,"Pacific Ocean, Offshore Miyagi","20 August, 2011",______,"Bigeye tuna
(Thunnus obesus)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,20
2170,Miyagi,"21 September,2011",,Miyagi,Pacific Ocean,"19 August, 2011",______,"Bigeye tuna
(Thunnus obesus)",,2.3,Not detectable,,Japan Chemical Analysis  Center,2.3,ND,pelagic,s,f,2011,19
3714,Miyagi,"9 November ,2011",,Miyagi,North Pacific off Japan (N36¡30_E154¡50),"16-28 October,2011",______,"Bigeye tuna
(Thunnus obesus)",9.9,,Not detectable,,Japan Chemical Analysis Center,9.9,ND,pelagic,s,f,2011,16
3790,National Offshore Tuna Fisheries Association of Japan,"10 November ,2011",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N35¡00_E148¡00),"The middle of
October",______,"Bigeye tuna
(Thunnus obesus)",,3,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3,ND,pelagic,s,f,ober,Th
4424,Miyagi,"30 November ,2011",,Miyagi,"Pacific Ocean
(N35¡00_E159¡00)",_,______,"Bigeye tuna
(Thunnus obesus)",,6.2,Not detectable,,Japan Chemical Analysis Center,6.2,ND,pelagic,s,f,_,_
4789,Miyagi,"15 December,2011",,Miyagi,"Pacific Ocean
(N35¡00_E164¡00)","25 November ,2011",______,"Bigeye tuna
(Thunnus obesus)",,3,Not detectable,,Japan Chemical Analysis Center,3,ND,pelagic,s,f,2011,25
4960,Miyagi,"21 December,2011",,Miyagi,North Pacific off Japan (N38¡33_E152¡42),"17
November,2011-13
December,2011",______,"Bigeye tuna
(Thunnus obesus)",,3.2,Not detectable,,Japan Chemical Analysis Center,3.2,ND,pelagic,s,f,2011,17
5074,National Offshore Tuna Fisheries Association of Japan,"26 December,2011",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N35¡00_E157¡00),"The first ten days of
November",______,"Bigeye tuna
(Thunnus obesus)",3.7,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3.7,ND,pelagic,s,f,mber,Th
5075,National Offshore Tuna Fisheries Association of Japan,"26 December,2011",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N34¡00_E153¡00),"The middle of
November",______,"Bigeye tuna
(Thunnus obesus)",3.5,,Not detectable,,Japan Chemical Analysis Center,3.5,ND,pelagic,s,f,mber,Th
5076,National Offshore Tuna Fisheries Association of Japan,"26 December,2011",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N35¡00_E152¡00),"The last ten days of
November",______,"Bigeye tuna
(Thunnus obesus)",4.5,,Not detectable,,Private inspection facility,4.5,ND,pelagic,s,f,mber,Th
5077,National Offshore Tuna Fisheries Association of Japan,"26 December,2011",,(Landing port) Choshi Fisheries Cooperative in Chiba,Offshore Pacific Ocean (N35¡00_E151¡00),"The first ten days of
December",______,"Bigeye tuna
(Thunnus obesus)",3,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3,ND,pelagic,s,f,mber,Th
5245,Miyagi,"12 January,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Bigeye tuna
(Thunnus obesus)",,2,Not detectable,,Private inspection facility,2,ND,pelagic,s,f,_,_
5246,Miyagi,"12 January,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Bigeye tuna
(Thunnus obesus)",,1,Not detectable,,Private inspection facility,1,ND,pelagic,s,f,_,_
5430,Miyagi,"18 January,2012",,Miyagi,"Offshore
Pacific Ocean","28 December,2011",______,"Bigeye tuna
(Thunnus obesus)",,2.9,Not detectable,,Private inspection facility,2.9,ND,pelagic,s,f,2011,28
5651,Miyagi,"25 January,2012",,Miyagi,"Offshore
Pacific Ocean","21 December,2011",______,"Bigeye tuna
(Thunnus obesus)",3.4,,Not detectable,,Private inspection facility,3.4,ND,pelagic,s,f,2011,21
5875,Miyagi,"1 February,2012",,Miyagi,"Offshore
Pacific Ocean",-,______,"Bigeye tuna
(Thunnus obesus)",,2.76,Not detectable,,"Japan Frozen Foods Inspection
Corporation",2.76,ND,pelagic,s,f,-,-
6092,Miyagi,"8 February,2012",,Miyagi,"Offshore
Pacific Ocean","23 December,2011
- 28 January,2012",______,"Bigeye tuna
(Thunnus obesus)",,2.09,Not detectable,,"Japan Frozen Foods Inspection
Corporation",2.09,ND,pelagic,s,f,2012,23
6992,Miyagi,"29 February,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Bigeye tuna
(Thunnus obesus)",,2.8,Not detectable,,Private inspection facility,2.8,ND,pelagic,s,f,_,_
7559,Miyagi,"14 March,2012",,Miyagi,"Offshore
Pacific Ocean","20 February,2012",______,"Bigeye tuna
(Thunnus obesus)",,0.48,Not detectable,,Japan Chemical Analysis Center,0.48,ND,pelagic,s,f,2012,20
7573,National Offshore Tuna Fisheries Association of Japan,"16 March,2012",,(Landing port) Choshi Fishing Port in Chiba,"640km South- southeast offshore Chiba
(N30¡00Õ E142¡00)","The first ten days of
March",______,"Bigeye tuna
(Thunnus obesus)",1.3,,Not detectable,,Private inspection facility,1.3,ND,pelagic,s,f,arch,Th
