,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
679,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"22 June, 2011",,Fukushima (Landing port) Onahama in Fukushima,240km offshore Fukushima (N37¡03_E143¡49),"19 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,19
680,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"22 June, 2011",,Fukushima (Landing port) Onahama in Fukushima,240km offshore Fukushima (N37¡03_E143¡37),"19 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,19
704,National Offshore Tuna Fisheries Association of Japan,"22 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"550km South- southeast offshore Boso Peninsula
(N30¡30ÕE 143¡
00Õ)","18 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,18
706,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"23 June, 2011",,Ibaraki (Landing port) Choshi Fishing Port in Chiba,760km offshore Ibaraki (N36¡00_E149¡00),"18 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,4.7,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",4.7,ND,pelagic,s,f,2011,18
848,National Offshore Tuna Fisheries Association of Japan,"28 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"420km southeast offshore Boso Peninsula
(N32¡00ÕE 143¡00Õ)","25 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,25
854,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"30 June, 2011",,Ibaraki (Landing port) Kesennuma in Miyagi,"1,170km offshore Ibaraki (N36¡08_E153¡36)","26 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,3.7,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",3.7,ND,pelagic,s,f,2011,26
855,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"30 June, 2011",,Ibaraki (Landing port) Choshi Fishing Port in Chiba,180km offshore Ibaraki (N36¡50_E142¡46),"27 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,27
857,Miyazaki,"1 July, 2011",,Miyazaki,"northwest Offshore Pacific Ocean (N37¡03_E143¡
16)","25 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,25
868,"National
Offshore Tuna
Fisheries
Association of
Japan","5 July, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Boso
Peninsula
(N32¡50ÕE 140¡00Õ)","3 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,3 
949,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"8 July, 2011",,(Landing port) Choshi Fishing Port in Chiba,"910km  east offshore Boso (N35¡00_E150¡
00)","4 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,5.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",5.2,ND,pelagic,s,f,2011,4 
953,Miyazaki,"11 July, 2011",,Miyazaki,"northwest Offshore Pacific Ocean (N37¡21_E149¡
42)","29 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",6,ND,pelagic,s,f,2011,29
1047,Miyagi,"13 July, 2011",,Miyagi,"Pacific Ocean, Offshore Ibaraki","9 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,2,Not detectable,,Tohoku University,2,ND,pelagic,s,f,2011,9 
1054,National Offshore Tuna Fisheries Association of Japan,"14 July, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Boso
Peninsula
(N35¡50ÕE 151¡00Õ)","8 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,1.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",1.5,ND,pelagic,s,f,2011,8 
1057,Kochi,"14 July, 2011",,Kochi,offshore Tosa Bay,"14 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,14
1126,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"19 July, 2011",,(Landing port) Choshi Fishing Port in Chiba,130km  east offshore Boso (N35¡32_E141¡54),"13 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,13
1127,National Offshore Tuna Fisheries Association of Japan,"15 July, 2011",,(Landing port) Kesennuma Fishing Port in Miyagi,Northwest Offshore Pacific Ocean (N36¡30_E153¡ 00),"11 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,2.1,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",2.1,ND,pelagic,s,f,2011,11
1132,National Offshore Tuna Fisheries Association of Japan,"21 July, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,east-southeast offshore Boso (N33¡10_E147¡40),"16 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,16
1142,National Offshore Tuna Fisheries Association of Japan,"26 July, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,South-southeast offshore Boso Peninsula (N31¡00_E138¡00),"23 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,23
1238,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","29 July, 2011",,(Landing port) Choshi Fishing Port in Chiba,"420km  east offshore Boso Peninsula
(N35¡30ÕE 145¡
02Õ)","26 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,26
1258,National Offshore Tuna Fisheries Association of Japan,"3 August, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,East offshore Boso Peninsula (N34¡45_E150¡15),"28 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,28
1356,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"9 August, 2011",,Ibaraki (Landing port) Yaizu Fish Market in Shizuoka,"1,600km offshore Ibaraki
(N36¡29ÕE158¡ 22Õ)","30 July, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,5.3,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",5.3,ND,pelagic,s,f,2011,30
1423,National Offshore Tuna Fisheries Association of Japan,"10 August, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,East offshore Boso Peninsula (N36¡00_E150¡00),"3 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,6.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",6.2,ND,pelagic,s,f,2011,3 
1431,Miyagi,"10 August, 2011",,Miyagi,"Pacific Ocean, Offshore Miyagi","5 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,5 
1440,Kochi,"9 August, 2011",,Kochi,offshore Tosa Bay,"8 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,8 
1511,National Offshore Tuna Fisheries Association of Japan,8/18/11,,(Landing port) Chiba-katsuura Fishing Port in Chiba,Northwest Offshore Pacific Ocean (N31o00' E142o00),8/15/11,___,"Skipjack tuna
(Katsuwonus pelamis)",,3.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",3.5,ND,pelagic,s,f,0770,40
1512,National Offshore Tuna Fisheries Association of Japan,8/19/11,,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Northwest Offshore Pacific Ocean (N39o30, E151o00)",8/15/11,___,"Skipjack tuna
(Katsuwonus pelamis)",,12.8,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",12.8,ND,pelagic,s,f,0770,40
1614,National Offshore Tuna Fisheries Association of Japan,"23 August, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Offsore Boso Penninsula (N36o20'E141o00),"20 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,17.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",17.2,ND,pelagic,s,f,2011,20
1626,National Offshore Tuna Fisheries Association of Japan,"26 August, 2011",,(Landing port) Kesenuma Fishing Port in Miyagi,Offshore Pacific Ocean (N38o30' E154o00),"22 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,2.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",2.6,ND,pelagic,s,f,2011,22
1638,Fukushima,"31 August, 2011",,Fukushima,"Offshore southern
Sanriku region","27 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,27
1709,National Offshore Tuna Fisheries Association of Japan,"31 August, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore
Boso Peninsula
(N33¡30ÕE140¡00)","27 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,27
1733,National Offshore Tuna Fisheries Association of Japan,"2 September,2011",,(Landing port) Kesennuma Fishing Port in Chiba,"Offshore
Choshi Peninsula
(N33¡30ÕE140¡00)","30 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,16.1,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",16.1,ND,pelagic,s,f,2011,30
1734,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"2 September,2011",,Miyagi (Landing port) Ishinomaki Fishing Port in Miyagi,"1,500 km
Offshore Miyagi
(N38¡38ÕE154¡16)","23 August, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,23
1838,"National
Offshore Tuna
Fisheries
Association of
Japan","8 September,2011",,(Landing port) Kesennuma Fishing Port in Chiba,"Offshore
Pacific Ocean
(N40¡00ÕE151¡00)","3 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,14.9,Not detectable,,Japan Chemical Analysis  Center,14.9,ND,pelagic,s,f,2011,3 
1846,National Offshore Tuna Fisheries Association of Japan,"12 September,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,South offshore Boso Peninsula (N33¡30_E140¡00),"5 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,5 
1908,Kochi,"14 September,2011",,Kochi,Offshore Tosa Bay,"13 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,13
2020,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"15 September,2011",,Ibaraki (Landing port) Kesennuma Fishing Port in Miyagi,"660 km east offshore Kashima
(N36¡00ÕE148¡00)","11 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,13.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",13.5,ND,pelagic,s,f,2011,11
2031,National Offshore Tuna Fisheries Association of Japan,"14 September,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,South offshore Boso Peninsula (N36¡00_E148¡00),"11 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,11
2032,National Offshore Tuna Fisheries Association of Japan,"15 September,2011",,(Landing port) Kesennuma Fishing Port in Miyagi,Offshore Pacific Ocean (N40¡50_E152¡40),"10 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,14.6,Not detectable,,Japan Chemical Analysis  Center,14.6,ND,pelagic,s,f,2011,10
2070,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"20 September,2011",,Ibaraki (Landing port) Choshi Fishing Port in Chiba,"780 km east offshore Ibaraki
(N36¡50ÕE149¡30)","13 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12.2,Not detectable,,Japan Chemical Analysis  Center,12.2,ND,pelagic,s,f,2011,13
2346,"National
Offshore Tuna
Fisheries
Association of
Japan","28 September,2011",,(Landing port) Kesennuma Fishing Port in Miyagi,Offshore Pacific Ocean (N40¡00_E152¡00),"16 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12.2,Not detectable,,Japan Chemical Analysis  Center,12.2,ND,pelagic,s,f,2011,16
2347,"National
Offshore Tuna
Fisheries
Association of
Japan","28 September,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Sanriku
(N39¡10_E146¡50)","24 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,11,Not detectable,,Japan Chemical Analysis  Center,11,ND,pelagic,s,f,2011,24
2384,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","30 September,2011",,Miyagi (Landing port) Kesennuma Fishing Port in Miyagi,"440 km
Offshore Miyagi
(N38¡30ÕE146¡30)","26 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,13.9,Not detectable,,Japan Chemical Analysis  Center,13.9,ND,pelagic,s,f,2011,26
2517,National Offshore Tuna Fisheries Association of Japan,"30 September,2011",,(Landing port) Kesennuma Fishing Port in Miyagi,Offshore Pacific Ocean (N39¡00_E147¡50),"24 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12.8,Not detectable,,Japan Chemical Analysis Center,12.8,ND,pelagic,s,f,2011,24
2609,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"11 October,2011",,Aomori (Landing port) Kesennuma Fishing Port in Miyagi,"Offshore
Hachinohe
(N40¡50ÕE152¡00)","3 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12,Not detectable,,Japan Chemical Analysis Center,12,ND,pelagic,s,f,2011,3 
2759,Kochi,"14 October,2011",,Kochi,Offshore Tosa Bay,"12 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,12
2815,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","17 October,2011",,(Landing port) Kesennuma Fishing Port in Miyagi,"Offshore southern
Sanriku Region
(N38¡40ÕE146¡50)","12 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,14.7,Not detectable,,"Japan Frozen Foods Inspection
Corporation",14.7,ND,pelagic,s,f,2011,12
2829,"National
Research
Institute of
Fisheries
Science,
Fisheries
Research
Agency, Japan","17 October,2011",,Shizuoka,North Pacific off Japan (N37¡49_E147¡04),"3 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,9.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",9.6,ND,pelagic,s,f,2011,3 
2831,National Offshore Tuna Fisheries Association of Japan,"5 October,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Northeast offshore Boso Peninsula (N37¡30_E145¡00),"1 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,16.1,Not detectable,,Japan Chemical Analysis Center,16.1,ND,pelagic,s,f,2011,1 
2832,National Offshore Tuna Fisheries Association of Japan,"7 October,2011",,(Landing port) Kesennuma Fishing Port in Miyagi,Offshore Pacific Ocean (N39¡20_E145¡10),"30 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,11.9,Not detectable,,Japan Chemical Analysis Center,11.9,ND,pelagic,s,f,2011,30
2855,Miyagi,"18 October,2011",,Fukushima (Landing port) Miyagi,Offshore Fukushima (N37¡47_E145¡05),"7 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,14.3,Not detectable,,Japan Chemical Analysis Center,14.3,ND,pelagic,s,f,2011,7 
3082,Japan Tuna Fisheries Co- operative Association,"21 October,2011",,(Landing port) Yaizu Fishing Port in Chiba,North Pacific off Japan (N40¡35_E152¡47),"14 September,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,15,Not detectable,,Japan Chemical Analysis Center,15,ND,pelagic,s,f,2011,14
3204,Tokushima,"24 October,2011",,Tokushima,"Offshore
Tokushima","19 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Tokushima_Prefectural Public Health Pharmaceutical  and Environmental Sciences Center,ND,ND,pelagic,s,f,2011,19
3224,Japan Tuna Fisheries Co- operative Association,"9 August,2011",,(Landing port) Yaizu Fishing Port in Chiba,North Pacific off Japan (N39¡25_E169¡30),"26 July,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,26
3225,Japan Tuna Fisheries Co- operative Association,"15 August,2011",,(Landing port) Yaizu Fishing Port in Chiba,North Pacific off Japan (N37¡00_E161¡25),"31 July,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,31
3226,National Offshore Tuna Fisheries Association of Japan,"24 October,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Offshore Pacific Ocean (N27¡30_E146¡30),"17 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,4.5,Not detectable,,Private inspection facility,4.5,ND,pelagic,s,f,2011,17
3227,National Offshore Tuna Fisheries Association of Japan,"27 October,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Offshore Pacific Ocean (N38¡45_E145¡28),"9 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12.6,Not detectable,,"Japan Frozen Foods Inspection
Corporation",12.6,ND,pelagic,s,f,2011,9 
3252,Miyagi,"27 October,2011",,Miyagi,North Pacific off Japan (N39¡00_E146¡30),"14 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,13.2,Not detectable,,Private inspection facility,13.2,ND,pelagic,s,f,2011,14
3537,Miyagi,"2 November ,2011",,Miyagi,North Pacific off Japan (N38¡30_E142¡10),"23 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,10.6,Not detectable,,"Japan Frozen Foods Inspection
Corporation",10.6,ND,pelagic,s,f,2011,23
3716,Miyagi,"9 November ,2011",,Miyagi,North Pacific off Japan (N40¡0_E152¡30),"29 October,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",12.3,,Not detectable,,Japan Chemical Analysis Center,12.3,ND,pelagic,s,f,2011,29
4000,Miyagi,"16 November ,2011",,Miyagi,North Pacific off Japan (N40¡10_E152¡30),"3 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,12.5,Not detectable,,"Japan Frozen Foods Inspection
Corporation",12.5,ND,pelagic,s,f,2011,3 
4072,Kochi,"16 November ,2011",,Kochi,Offshore Tosa Bay,"15 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,15
4074,National Offshore Tuna Fisheries Association of Japan,"11 November ,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Offshore Pacific Ocean (N38¡00_E145¡00),"7 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,13.8,Not detectable,,Japan Chemical Analysis Center,13.8,ND,pelagic,s,f,2011,7 
4075,National Offshore Tuna Fisheries Association of Japan,"18 November ,2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,Offshore Pacific Ocean (N40¡30_E152¡40),"12 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,15.2,Not detectable,,Private inspection facility,15.2,ND,pelagic,s,f,2011,12
4246,Miyagi,"24 November ,2011",,Miyagi,North Pacific off Japan (N40¡30_E152¡40),"12 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,11.9,Not detectable,,Japan Chemical Analysis Center,11.9,ND,pelagic,s,f,2011,12
4428,Miyagi,"30 November ,2011",,Miyagi,North Pacific off Japan (N40¡00_E152¡00),"16 November ,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,13.9,Not detectable,,Private inspection facility,13.9,ND,pelagic,s,f,2011,16
4830,Kochi,"15 December,2011",,Kochi,Offshore Tosa Bay,"13 December,2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,2.17,Not detectable,,"Kochi Prefectural Institute of Public
Health",2.17,ND,pelagic,s,f,2011,13
5446,Kochi,"20 January,2012",,Kochi,Offshore Tosa Bay,"18 January,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2012,18
5692,National Offshore Tuna Fisheries Association of Japan,"30 January,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,800 km South offshore Chiba Pref. (N28¡00_E142¡00),"19 January,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2012,19
5883,National Offshore Tuna Fisheries Association of Japan,"2 February,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,900 km South offshore Chiba Pref. (N27¡00_E141¡00),"26 January,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2012,26
6073,National Offshore Tuna Fisheries Association of Japan,"8 February,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"860km South offshore Chiba Pref.
(N27¡20ÕE140¡40)","2 February,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",,1.53,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.53,ND,pelagic,s,f,2012,2 
6259,National Offshore Tuna Fisheries Association of Japan,"15 February,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"1000km South offshore Chiba
(N26¡20Õ  E140¡40)","8 February,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2012,8 
6630,National Offshore Tuna Fisheries Association of Japan,"22 February,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"950km South offshore Chiba
(N26¡30Õ  E140¡40)","17 February,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",,1.37,Not detectable,,Private inspection facility,1.37,ND,pelagic,s,f,2012,17
6994,Miyagi,"29 February,2012",,Miyagi,"Offshore
Pacific Ocean",_,___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,_,_
7091,National Offshore Tuna Fisheries Association of Japan,"5 March,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"1000km South offshore Chiba
(N26¡00Õ  E142¡00)","24 February,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",,1.54,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.54,ND,pelagic,s,f,2012,24
7280,National Offshore Tuna Fisheries Association of Japan,"8 March,2012",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"1100km South offshore Chiba
(N25¡00Õ  E141¡00)","2 March,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2012,2 
8336,National Offshore Tuna Fisheries Association of Japan,"28 March,2012",,(Landing port) Choshi Fishing Port in Chiba,"850km South- southeast offshore Chiba
(N28¡05Õ  E140¡26)","20-22 March,2012",___,"Skipjack tuna
(Katsuwonus pelamis)",,2.72,Not detectable,,Private inspection facility,2.72,ND,pelagic,s,f,2012,20
8337,Kochi,"29 March,2012",,Kochi,Offshore Tosa Bay,"27 March,2013",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"Kochi Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2013,27
2853,Miyagi,"18 October,2011",,Miyagi,North Pacific off Japan (N39¡20_E145¡10),"20 September,2011",______,"Yellowfin tuna
(Thunnus albacares)",,10.4,Not detectable,,Japan Chemical Analysis Center,10.4,ND,pelagic,s,f,2011,20
3536,Miyagi,"2 November ,2011",,Miyagi,North Pacific off Japan (N36¡0_E157¡0),_,______,"Yellowfin tuna
(Thunnus albacares)",,6.9,Not detectable,,"Japan Frozen Foods Inspection
Corporation",6.9,ND,pelagic,s,f,_,_
3999,Miyagi,"16 November ,2011",,Miyagi,North Pacific off Japan (N36¡00_E152¡0),"3 November ,2011",______,"Yellowfin tuna
(Thunnus albacares)",,10.1,Not detectable,,Japan Chemical Analysis Center,10.1,ND,pelagic,s,f,2011,3 
4788,Miyagi,"15 December,2011",,Miyagi,"Pacific Ocean
(N35¡00_E164¡00)","25 November ,2011",______,"Yellowfin tuna
(Thunnus albacares)",,7.2,Not detectable,,Japan Chemical Analysis Center,7.2,ND,pelagic,s,f,2011,25
5429,Miyagi,"18 January,2012",,Miyagi,"Offshore
Pacific Ocean","2 January,2012",______,"Yellowfin tuna
(Thunnus albacares)",,5.3,Not detectable,,Private inspection facility,5.3,ND,pelagic,s,f,2012,2 
5876,Miyagi,"1 February,2012",,Miyagi,"Offshore
Pacific Ocean",-,______,"Yellowfin tuna
(Thunnus albacares)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,-,-
6295,Miyagi,"15 February,2012",,Miyagi,"Offshore
Pacific Ocean","22 January,2012",______,"Yellowfin tuna
(Thunnus albacares)",,2.24,Not detectable,,Private inspection facility,2.24,ND,pelagic,s,f,2012,22
6993,Miyagi,"29 February,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Yellowfin tuna
(Thunnus albacares)",,1.65,Not detectable,,Private inspection facility,1.65,ND,pelagic,s,f,_,_
