"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
1658,Fukushima,"31 August, 2011",Fukushima,Iwaki City,"29 August, 2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
1688,Fukushima,"31 August, 2011",Fukushima,Minami-soma City,"29 August, 2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
1796,Fukushima,"7 September,2011",Fukushima,Soma City,"29 August, 2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",,20,Not detectable,,"Fukushima Agricultural Technology
Centre",20,ND,s,m,
1985,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
2106,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
2155,Fukushima,"21 September,2011",Fukusima,Minami-soma City,"15 September,2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
2167,Miyagi,"21 September,2011",Miyagi,Offshore Miyagi,"14 September,2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,s,m,
2328,Miyagi,"28 September,2011",Miyagi,Offshore Miyagi,"19 September,2011",____,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,s,m,
1345,Gunma,"5 August, 2011",Gunma,"Kawaba Village
(inland waters)","2 August, 2011","___________
____",Ginhikari (selectively bred rainbow trout) (Oncorhynchus mykiss ),Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,ND,ND,f,f,
7361,Gunma,"12 March,2012",Gunma,"Kawaba Village
(inland waters)","1 March,2012","___________
____",Ginhikari (selectively bred rainbow trout) (Oncorhynchus mykiss ),Not detectable,,Not detectable,,Private inspection facility,ND,ND,f,f,
7370,Gunma,"12 March,2012",Gunma,"Kawaba Village
(inland waters)","6 March,2012","___________
____",Ginhikari (selectively bred rainbow trout) (Oncorhynchus mykiss ),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,f,f,
7374,Gunma,"12 March,2012",Gunma,"Higashi-agatsuma
Town
(inland waters)","6 March,2012","___________
____",Ginhikari (selectively bred rainbow trout) (Oncorhynchus mykiss ),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,f,f,
2434,Ibaraki,"4 October,2011",Ibaraki,"Offshore
Hitachi-naka City","29 September,2011",___,"Globefish
(Takifugu  porphyreus )",49,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",49,ND,s,f,
2701,Fukushima,"12 October,2011",Fukushima,Minami-soma City,"6 October,2011",___,"Globefish
(Takifugu  porphyreus )",,101,Not detectable,,"Fukushima Agricultural Technology
Centre",101,ND,s,f,
2939,Fukushima,"19 October,2011",Fukushima,Hirono Town,"17 October,2011",___,"Globefish
(Takifugu  porphyreus )",,94,Not detectable,,"Fukushima Agricultural Technology
Centre",94,ND,s,f,
2940,Fukushima,"19 October,2011",Fukushima,Minami-soma City,"17 October,2011",___,"Globefish
(Takifugu  porphyreus )",,54,Not detectable,,"Fukushima Agricultural Technology
Centre",54,ND,s,f,
3119,Fukushima,"26 October,2011",Fukushima,Iwaki City,"24 October,2011",___,"Globefish
(Takifugu  porphyreus )",,128,Not detectable,,"Fukushima Agricultural Technology
Centre",128,ND,s,f,
3189,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"24 October,2011",___,"Globefish
(Takifugu  porphyreus )",,70,Not detectable,,"Fukushima Agricultural Technology
Centre",70,ND,s,f,
5403,Ibaraki,"18 January,2012",Ibaraki,"Offshore
Hitachi City","16 January,2012",___,"Globefish
(Takifugu  porphyreus )",5,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",5,ND,s,f,
5404,Ibaraki,"18 January,2012",Ibaraki,"Offshore
Hitachinaka City","13 January,2012",___,"Globefish
(Takifugu  porphyreus )",13,,Not detectable,,Private inspection facility,13,ND,s,f,
5945,Ibaraki,"3 February,2012",Ibaraki,"Offshore
Hitachinaka City","31 January,2012",___,"Globefish
(Takifugu  porphyreus )",,13,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",13,ND,s,f,
6745,Ibaraki,"24 February,2012",Ibaraki,"Offshore
Kashima City","13 February,2012",___,"Globefish
(Takifugu  porphyreus )",2,,Not detectable,,Private inspection facility,2,ND,s,f,
7306,Ibaraki,"8 March,2012",Ibaraki,"Offshore
Hitachi City","27 February,2012",___,"Globefish
(Takifugu  porphyreus )",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
7538,Ibaraki,"14 March,2012",Ibaraki,"Offshore
Hitachi City","7 March,2012",___,"Globefish
(Takifugu  porphyreus )",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,f,
8325,Ibaraki,"28 March,2012",Ibaraki,"Offshore
Hitachinaka City","21 March,2012",___,"Globefish
(Takifugu  porphyreus )",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
168,Ibaraki,"26 April, 2011",Ibaraki,Offshore Hokota city,"25 April, 2011",___,"Globefish
(Takifugu porphyreus )",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,f,
2306,Fukushima,"28 September,2011",Fukusima,Minami-soma City,"24 September,2011",___,"Globefish
(Takifugu porphyreus )",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",56,ND,s,f,
2307,Fukushima,"28 September,2011",Fukusima,Minami-soma City,"24 September,2011",___,"Globefish
(Takifugu porphyreus )",,60,Not detectable,,"Fukushima Agricultural Technology
Centre",60,ND,s,f,
2729,Kanagawa,"12 October,2011",Kanagawa,Miura City (Misaki Fishing Port),"5 October,2011",__,"Gnomefish
(Scombrops  boops)",,9.3,Not detectable,,Japan Chemical Analysis Center,9.3,ND,s,f,
1493,Kanagawa,"17 August, 2011",Kanagawa,Yokosuka City (Sajima Fishing Port),"11 August, 2011",__,"Gnomefish
(Scombrops boops)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,f,
2022,Kanagawa,"15 September,2011",Kanagawa,Yokosuka City (Sajima Fishing Port),"12 September,2011",__,"Gnomefish
(Scombrops boops)",,1.2,Not detectable,,Japan Chemical Analysis  Center,1.2,ND,s,f,
2224,Yokohama City,"27 September,2011",Yokohama City,"Offshore
Yokohama City","21 September,2011",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,"Yokohama City Institute of Public
Health",ND,ND,s,m,
2869,Fukushima,"19 October,2011",Fukushima,Iwaki City,"11 October,2011",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
2943,Fukushima,"19 October,2011",Fukushima,Soma City,"17 October,2011",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
2944,Fukushima,"19 October,2011",Fukushima,Minami-soma City,"17 October,2011",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
3194,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"24 October,2011",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
7354,Chiba,"12 March,2012",Chiba,"Futtsu
Fishing Port","7 March,2012",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,m,
7663,Chiba,"19 March,2012",Chiba,"Onuki
Fishing Port","14 March,2012",____,"Golden cuttlefish
(Sepia esculenta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,m,
116,Ibaraki,"19 April, 2011",Ibaraki,"Offshore
Oarai town","17 April, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,15,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",15,4,s,f,
877,Fukushima,"6 July, 2011",Fukushima,Iwaki City,"4 July, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,220,Not detectable,,"Fukushima Agricultural Technology
Centre",220,ND,s,f,
972,Fukushima,"13 July, 2011",Fukushima,Iwaki City,"11 July, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,210,Not detectable,,"Fukushima Agricultural Technology
Centre",210,ND,s,f,
1078,Fukushima,"20 July, 2011",Fukushima,Iwaki City,"15 July, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,640,Not detectable,,"Fukushima Agricultural Technology
Centre",640,ND,s,f,
1267,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,680,Not detectable,,"Fukushima Agricultural Technology
Centre",680,ND,s,f,
1360,Fukushima,"10 August, 2011",Fukushima,Iwaki City,"8 August, 2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,174,Not detectable,,"Fukushima Agricultural Technology
Centre",174,ND,s,f,
1529,Fukushima,8/24/11,Fukushima,Iwaki City,8/22/11,_____,"Goldeye rockfish
(Sebastes thompsoni)",,70,Not detectable,,"Fukushima Agricultural Technology
Centre",70,ND,s,f,
1913,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,420,Not detectable,,"Fukushima Agricultural Technology
Centre",420,ND,s,f,
2079,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,950,Not detectable,,"Fukushima Agricultural Technology
Centre",950,ND,s,f,
2475,Fukushima,"5 October,2011",Fukushima,Hirono Town,"27 September,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,520,Not detectable,,"Fukushima Agricultural Technology
Centre",520,ND,s,f,
2628,Fukushima,"12 October,2011",Fukushima,Iwaki City,"6 October,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,380,Not detectable,,"Fukushima Agricultural Technology
Centre",380,ND,s,f,
4133,Fukushima,"24 November ,2011",Fukushima,Hirono Town,"19 November ,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",240,ND,s,f,
4349,Fukushima,"30 November ,2011",Fukushima,Iwaki City,"27 November ,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,300,Not detectable,,"Fukushima Agricultural Technology
Centre",300,ND,s,f,
4881,Fukushima,"21 December,2011",Fukushima,Iwaki City,"18 December,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,182,Not detectable,,"Fukushima Agricultural Technology
Centre",182,ND,s,f,
4898,Fukushima,"21 December,2011",Fukushima,Hirono Town,"18 December,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,1630,Not detectable,,"Fukushima Agricultural Technology
Centre",1630,ND,s,f,
5121,Fukushima,"28 December,2011",Fukushima,Hirono Town,"21 December,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,220,Not detectable,,"Fukushima Agricultural Technology
Centre",220,ND,s,f,
5155,Ibaraki,"28 December,2011",Ibaraki,"Offshore
Hitachi City","22 December,2011",_____,"Goldeye rockfish
(Sebastes thompsoni)",,50,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",50,ND,s,f,
5230,Ibaraki,"11 January,2012",Ibaraki,"Offshore
Hitachi City","9 January,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,34,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",34,ND,s,f,
5345,Fukushima,"18 January,2012",Fukushima,Hirono Town,"15 January,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,1480,Not detectable,,"Fukushima Agricultural Technology
Centre",1480,ND,s,f,
5803,Fukushima,"1 February,2012",Fukushima,Minami-soma City,"25 January,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
6144,Ibaraki,"9 February,2012",Ibaraki,"Offshore
Hitachi City","3 February,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",73,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",73,ND,s,f,
6237,Ibaraki,"14 February,2012",Ibaraki,"Offshore
Kashima City","11 February,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,68,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",68,ND,s,f,
6437,Ibaraki,"17 February,2012",Ibaraki,"Offshore
Hokota City","15 February,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,126,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",126,ND,s,f,
6904,Fukushima,"29 February,2012",Fukushima,Hirono Town,"22 February,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,20.5,Not detectable,,"Fukushima Agricultural Technology
Centre",20.5,ND,s,f,
7167,Fukushima,"7 March,2012",Fukushima,Hirono Town,"4 March,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",290,ND,s,f,
7713,Fukushima,"21 March,2012",Fukushima,Hirono Town,"14 March,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,590,Not detectable,,"Fukushima Agricultural Technology
Centre",590,ND,s,f,
8016,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Hitachi City","22 March,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",51,,Not detectable,,Private inspection facility,51,ND,s,f,
8017,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Kamisu City","22 March,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",101,,Not detectable,,Private inspection facility,101,ND,s,f,
8404,Ibaraki,"30 March,2012",Ibaraki,"Offshore
Kashima City","22 March,2012",_____,"Goldeye rockfish
(Sebastes thompsoni)",,115,Not detectable,,Private inspection facility,115,ND,s,f,
3219,Hokkaido,"26 October,2011",Hokkaido,"Offshore
Muroran City","19 October,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
3676,Hokkaido,"9 November ,2011",Hokkaido,"Offshore
Urakawa Town","2 November ,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
3979,Hokkaido,"16 November ,2011",Hokkaido,"Offshore
Muroran City","8 November ,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
4224,Hokkaido,"24 November ,2011",Hokkaido,"Offshore
Urakawa Town","17 November ,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
4503,Hokkaido,"5 December,2011",Hokkaido,"Offshore
Muroran City","28 November ,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4578,Hokkaido,"7 December,2011",Hokkaido,"Offshore
Urakawa Town","30 November ,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4943,Hokkaido,"21 December,2011",Hokkaido,"Offshore
Urakawa Town","14 December,2011",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
5454,Hokkaido,"20 January,2012",Hokkaido,"Offshore
Urakawa Town","13 January,2012",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
5889,Hokkaido,"3 February,2012",Hokkaido,"Offshore
Urakawa Town","26 January,2012",_____,Great Sculpin (Myoxocephalus polyacanthocephalus),,0.46,Not detectable,,Japan Chemical Analysis Center,0.46,ND,s,f,
1917,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",____,"Greater amberjack
(Seriola dumerili)",,25,Not detectable,,"Fukushima Agricultural Technology
Centre",25,ND,s,f,
2057,Iwate,"16 September,2011",Iwate,"Offshore
Ofunato City","11 September,2011",____,"Greater amberjack
(Seriola dumerili)",,9.9,Not detectable,,Japan Chemical Analysis  Center,9.9,ND,s,f,
2181,Iwate,"22 September,2011",Iwate,"Offshore
Kuji City","19 September,2011",____,"Greater amberjack
(Seriola dumerili)",,12.2,Not detectable,,Japan Chemical Analysis  Center,12.2,ND,s,f,
2270,Fukushima,"28 September,2011",Fukusima,Soma City,"26 September,2011",____,"Greater amberjack
(Seriola dumerili)",,73,Not detectable,,"Fukushima Agricultural Technology
Centre",73,ND,s,f,
2665,Fukushima,"12 October,2011",Fukushima,Shinchi Town,"6 October,2011",____,"Greater amberjack
(Seriola dumerili)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
2666,Fukushima,"12 October,2011",Fukushima,Soma City,"7 October,2011",____,"Greater amberjack
(Seriola dumerili)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",11,ND,s,f,
2888,Fukushima,"19 October,2011",Fukushima,Soma City,"15 October,2011",____,"Greater amberjack
(Seriola dumerili)",,22.1,Not detectable,,"Fukushima Agricultural Technology
Centre",22.1,ND,s,f,
3234,Kanagawa,"27 October,2011",Kanagawa,Fujisawa City (Katase Fishing Port),"24 October,2011",____,"Greater amberjack
(Seriola dumerili)",,59,Not detectable,,"Japan Frozen Foods Inspection
Corporation",59,ND,s,f,
3724,Kanagawa,"10 November ,2011",Kanagawa,Miura City (Misaki Fishing Port),"6 Novemer,2011",____,"Greater amberjack
(Seriola dumerili)",16.6,,Not detectable,,Japan Chemical Analysis Center,16.6,ND,s,f,
4202,Kanagawa,"24 November ,2011",Kanagawa,Hiratsuka City (Hiratsuka Fishing Port),"21 November ,2011",____,"Greater amberjack
(Seriola dumerili)",,8.2,Not detectable,,Japan Chemical Analysis Center,8.2,ND,s,f,
2598,Japan Seawater Fishery Cultivation Association,"2 September,2011",Kagoshima,-,"28 August, 2011",________,"Greater amberjack(farmed)
(Seriola dumerili)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,f,
2604,Japan Seawater Fishery Cultivation Association,"29 September,2011",Kagoshima,-,"19 September,2011",________,"Greater amberjack(farmed)
(Seriola dumerili)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,f,
4090,Japan Seawater Fishery Cultivation Association,"18 November ,2011",Kagoshima,-,"29 October,2011",________,"Greater amberjack(farmed)
(Seriola dumerili)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,s,f,
5372,Fukushima,"18 January,2012",Fukushima,Soma City,"13 January,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
5854,Fukushima,"1 February,2012",Fukushima,Soma City,"26 January,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
6072,Fukushima,"8 February,2012",Fukushima,Soma City,"1 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,22,Not detectable,,"Fukushima Agricultural Technology
Centre",22,ND,s,s,
6416,Fukushima,"15 February,2012",Fukushima,Soma City,"9 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,28,Not detectable,,"Fukushima Agricultural Technology
Centre",28,ND,s,s,
6628,Fukushima,"22 February,2012",Fukushima,Soma City,"17 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",,47,Not detectable,,"Fukushima Agricultural Technology
Centre",47,ND,s,s,
6971,Fukushima,"29 February,2012",Fukushima,Soma City,"23 February,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7224,Fukushima,"7 March,2012",Fukushima,Soma City,"1 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7489,Fukushima,"14 March,2012",Fukushima,Soma City,"8 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
7789,Fukushima,"21 March,2012",Fukushima,Soma City,"15 March,2012",_________,"Green laver (farmed)
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
4737,Fukushima,"14 December,2011",Fukushima,Soma City,"12 December,2011",_____,"Green laver
(Monostroma nitidum)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,s,
4084,Chiba,"21 November ,2011",Chiba,"Katagai
Fishing Port","20 November ,2011",____,"Green laver
(Ulva spp.)",Not detectable,,Not detectable,,Tokyo Quarantine Station,ND,ND,s,s,
315,Fukushima,"19 May, 2011",Fukushima,Iwaki City,"16 May, 2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,130,Not detectable,,Japan Chemical Analysis  Center,130,ND,s,f,
627,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,184,Not detectable,,Japan Chemical Analysis  Center,184,ND,s,f,
770,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,159,Not detectable,,"Fukushima Agricultural Technology
Centre",159,ND,s,f,
1146,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,77,Not detectable,,"Fukushima Agricultural Technology
Centre",77,ND,s,f,
1633,Chiba,"29 August, 2011",Chiba,"Choshi
Fishing Port","21 August, 2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,16.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",16.5,ND,s,f,
1736,Ibaraki,"5 September,2011",Ibaraki,"Offshore
Hitachi City","1 September,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,38,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",38,ND,s,f,
1868,Ibaraki,"13 September,2011",Ibaraki,"Offshore
Hitachi-naka  City","8 September,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,23,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",23,ND,s,f,
2783,Ibaraki,"14 October,2011",Ibaraki,"Offshore
Hokota city","7 October,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",19,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",19,ND,s,f,
3057,Ibaraki,"24 October,2011",Ibaraki,"Offshore
Hitachi City","16 October,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,12,Not detectable,,Japan Chemical Analysis Center,12,ND,s,f,
3282,Ibaraki,"29 October,2011",Ibaraki,"Offshore
Hitachi City","24 October,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",19,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",19,ND,s,f,
3283,Ibaraki,"29 October,2011",Ibaraki,"Offshore
Kamisu city","24 October,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",16,,Not detectable,,Japan Chemical Analysis Center,16,ND,s,f,
3312,Ibaraki,"31 October,2011",Ibaraki,"Offshore
Kita-ibaraki City","25 October,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,26,Not detectable,,Private inspection facility,26,ND,s,f,
3596,Fukushima,"9 November ,2011",Fukushima,Minami-soma City,"5 November ,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
3812,Ibaraki,"15 November ,2011",Ibaraki,"Offshore
Kita-ibaraki City","7 November ,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,15,Not detectable,,Japan Chemical Analysis Center,15,ND,s,f,
4098,Fukushima,"24 November ,2011",Fukushima,Iwaki City,"21 November ,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,33,Not detectable,,"Fukushima Agricultural Technology
Centre",33,ND,s,f,
4700,Fukushima,"14 December,2011",Fukushima,Minami-soma City,"10 December,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
4796,Ibaraki,"16 December,2011",Ibaraki,"Offshore
Kashima City","12 December,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,16,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",16,ND,s,f,
5026,Ibaraki,"26 December,2011",Ibaraki,"Offshore
Hokota City","16 December,2011",_____,"Greeneyes
(Chlorophthalmus borealis)",,13,Not detectable,,"Japan Frozen Foods Inspection
Corporation",13,ND,s,f,
5263,Ibaraki,"13 January,2012",Ibaraki,"Offshore
Hitachi City","6 January,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",13,,Not detectable,,Japan Chemical Analysis Center,13,ND,s,f,
5706,Ibaraki,"31 January,2012",Ibaraki,"Offshore
Kamisu City","25 January,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",10,,Not detectable,,Japan Chemical Analysis Center,10,ND,s,f,
6136,Ibaraki,"9 February,2012",Ibaraki,"Offshore
Hitachinaka City","31 January,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",13,,Not detectable,,Private inspection facility,13,ND,s,f,
6137,Ibaraki,"9 February,2012",Ibaraki,"Offshore
Kamisu City","31 January,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",11,,Not detectable,,Private inspection facility,11,ND,s,f,
6301,Fukushima,"15 February,2012",Fukushima,Iwaki City,"13 February,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",,7.9,Not detectable,,"Fukushima Agricultural Technology
Centre",7.9,ND,s,f,
6709,Ibaraki,"24 February,2012",Ibaraki,"Offshore
Kashima City","13 February,2012",_____,"Greeneyes
(Chlorophthalmus borealis)",16,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",16,ND,s,f,
