"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
6030,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",___,"Abalone
(Haliotis sp.)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
6533,Fukushima,"22 February,2012",Fukushima,Iwaki City,"20 February,2012",___,"Abalone
(Haliotis sp.)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",11,ND,s,m,
7156,Fukushima,"7 March,2012",Fukushima,Iwaki City,"5 March,2012",___,"Abalone
(Haliotis sp.)",,9.2,Not detectable,,"Fukushima Agricultural Technology
Centre",9.2,ND,s,m,
8099,Fukushima,"28 March,2012",Fukushima,Iwaki City,"22 March,2012",___,"Abalone
(Haliotis sp.)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
5860,Kanagawa,"30 January,2012",Kanagawa,Miura City (Kaneda Fishing Port),"25 January,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
6124,Kanagawa,"9 February,2012",Kanagawa,Kamakura City (Shore of Kamakura),"6 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,s,
7020,Kanagawa,"2 March,2012",Kanagawa,Yokosuka City (Sajima Fishing Port),"27 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
7021,Kanagawa,"2 March,2012",Kanagawa,Zushi City (Kotsubo Fishing Port),"27 February,2012",____,"Akamoku seaweed
(Sargassum  horneri)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,s,
1612,Hokkaido,"24 August, 2011",Hokkaido,Offshore Noboribetsu City,"21 August, 2011",______,Alaska pollock (Theragra chalcogramma),,1.26,Not detectable,,Hokkaido Institute of Public Health,1.26,ND,s,f,
3966,Niigata,"16 November ,2011",Niigata,Niigata Port,"13 November ,2011",_________ __,Alaska pollock (Theragra chalcogramma) (Edible part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,s,f,
