"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
917,Fukushima,"6 July, 2011",Fukushima,,Aizu-misato Town (Agagawa River) (inland waters),"2 July, 2011",_______,,"Whitespotted char(wild)
(Salvelinus leucomaenis)",,168,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
918,Fukushima,"6 July, 2011",Fukushima,,"Aizu-wakamatsu
City
(Agagawa River)
(inland waters)","1 July, 2011",_______,,"Whitespotted char(wild)
(Salvelinus leucomaenis)",,57,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
919,Fukushima,"6 July, 2011",Fukushima,,"Aizu-wakamatsu
City
(Agagawa River)
(inland waters)","2 July, 2011",_______,,"Japanese dace(wild)
(Tribolodon hakonensis)",,53,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
920,Fukushima,"6 July, 2011",Fukushima,,"Aizu-wakamatsu
City
(Agagawa River)
(inland waters)","2 July, 2011",________,,"Silver crucian carp(wild)
(Carassius langsdorfii)",,43,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
921,Fukushima,"6 July, 2011",Fukushima,,"Aizu-wakamatsu
City
(Agagawa River)
(inland waters)","1 July, 2011",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,113,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
922,Fukushima,"6 July, 2011",Fukushima,,Aizu-misato Town (Agagawa River) (inland waters),"2 July, 2011",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,133,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
923,Fukushima,"6 July, 2011",Fukushima,,Shimogo Town (Agagawa River) (inland waters),"3 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,30,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
924,Fukushima,"6 July, 2011",Fukushima,,Showa Village (Agagawa) (inland waters),"3 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,60,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
925,Fukushima,"6 July, 2011",Fukushima,,Iwaki City,"4 July, 2011",_______,,"Arame seaweed
(Eisenia bicyclis)",,890,,47,"Fukushima Agricultural Technology
Centre",,,
926,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"5 July, 2011",(Landing port) Hachinohe Fishing Port in Aomori,,18km east offshore Kinka (N38°17_E141°47),"2 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,23.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
927,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"5 July, 2011",(Landing port) Hachinohe Fishing Port in Aomori,,20km southeast offshore Kinka (N38°05-09_ E141°41-50),"2 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,18,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
928,Miyagi,"6 July, 2011",Miyagi,,Sendai Bay,"3 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,10,Not detectable,,Tohoku University,,,
929,Miyagi,"6 July, 2011",Miyagi,,Sendai Bay,"3 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",Not detectable,,Not detectable,,Tohoku University,,,
930,Miyagi,"6 July, 2011",Miyagi,,Kesennuma City (Okawa River) (inland waters),"4 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,53,Not detectable,,Tohoku University,,,
931,Tochigi,"6 July, 2011",Tochigi,,"Utsunomiya City
(inland waters)","4 July, 2011",______,,"Ayu sweetfish(farmed)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Private inspection facility,,,
932,Tochigi,"6 July, 2011",Tochigi,,"Sakura City
(inland waters)","4 July, 2011",______,,"Ayu sweetfish(farmed)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Private inspection facility,,,
933,Tochigi,"6 July, 2011",Tochigi,,"Nasu-karasuyama
City
(inland waters)","4 July, 2011",______,,"Ayu sweetfish(farmed)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Private inspection facility,,,
934,Tochigi,"6 July, 2011",Tochigi,,"Nikko City
(inland waters)","4 July, 2011",_________,,"Yashiomasu trout(farmed)
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,Private inspection facility,,,
935,Tochigi,"6 July, 2011",Tochigi,,"Yaita City
(inland waters)","4 July, 2011",_________,,"Yashiomasu trout(farmed)
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,Private inspection facility,,,
936,Tochigi,"6 July, 2011",Tochigi,,"Ohtawara City
(inland waters)","4 July, 2011",_________,,"Yashiomasu trout(farmed)
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,Private inspection facility,,,
937,Kanagawa,"7 July, 2011",Kanagawa,,Yokohama City (Shiba Fishing Port),"3 July, 2011",____,,"Dotted gizzard shad
(Konosirus punctatus)",,2.4,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
938,Kanagawa,"7 July, 2011",Kanagawa,,Yokohama City (Shiba Fishing Port),"3 July, 2011",____,,"Japanese whiting
(Sillago japonica)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
939,Kanagawa,"7 July, 2011",Kanagawa,,Yokosuka City (Sajima Fishing Port),"4 July, 2011",____,,"Southern mackerel
(Scomber australasicus)",,6.8,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
940,Kanagawa,"7 July, 2011",Kanagawa,,Odawara City (Odawara Fishing Port),"5 July, 2011",___,,"Chicken grunt
(Parapristipoma trilineatum)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
941,Kanagawa,"7 July, 2011",Kanagawa,,Odawara City (Odawara Fishing Port),"5 July, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",,14.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
942,Ibaraki,"7 July, 2011",Ibaraki,,"Offshore
Kamisu city","6 July, 2011",____,,"Southern mackerel
(Scomber australasicus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
943,Ibaraki,"7 July, 2011",Ibaraki,,"Offshore
Hitachinaka city","6 July, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
944,Ibaraki,"7 July, 2011",Ibaraki,,"Offshore
Hitachinaka city","5 July, 2011",_____,,"Ezo abalone
(Haliotis discus hannai)",,23,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
945,Ibaraki,"7 July, 2011",Ibaraki,,Kasumigaura (Kitaura) (inland waters),"6 July, 2011",________,,"Japanese smelt(wild)
(Hypomesus nipponensis)",,79,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
946,Chiba,"7 July, 2011",Chiba,,"Choshi
Fishing Port","6 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,21.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
947,Chiba,"7 July, 2011",Chiba,,"Katakai Fishing
Port","5 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,10.9,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
948,Chiba,"7 July, 2011",Chiba,,"Katsuura toubu
Fishing Port","30 June, 2011",_____,,"Japanese abalone
(Haliotis discus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
949,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"8 July, 2011",(Landing port) Choshi Fishing Port in Chiba,,"910km  east offshore Boso (N35°00_E150°
00)","4 July, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,5.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
950,Chiba,"11 July, 2011",Chiba,,"Choshi
Fishing Port","7 July, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,15.9,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
951,Chiba,"11 July, 2011",Chiba,,"Kamogawa
Fishing Port","7 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,13.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
952,Chiba (Japan Small- Type Whaling Association),"11 July, 2011",Chiba,,"20 km offshore
Wada","6 July, 2011",_____,,"Baird’s beaked whale
(Berardius bairdii)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
953,Miyazaki,"11 July, 2011",Miyazaki,,"northwest Offshore Pacific Ocean (N37°21_E149°
42)","29 June, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
954,Ibaraki,"12 July, 2011",Ibaraki,,"Offshore
Kamisu city","11 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,28,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
955,Ibaraki,"12 July, 2011",Ibaraki,,"Offshore
Kamisu city","11 July, 2011",_____,,"Stone flounder
(Kareius bicoloratus)",,21,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
956,Ibaraki,"12 July, 2011",Ibaraki,,"Offshore
Kamisu city","11 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,26,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
957,Ibaraki,"12 July, 2011",Ibaraki,,"Offshore
Kamisu city","10 July, 2011",________,,"Japanese whelk
(Buccinum isaotakii)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
958,Ibaraki,"12 July, 2011",Ibaraki,,"Shore of
Hitachinaka city","11 July, 2011",_____,,"Ezo abalone
(Haliotis discus hannai)",,28,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
959,Ibaraki,"12 July, 2011",Ibaraki,,"Shore of
Oarai town","11 July, 2011",_____,,"Ezo abalone
(Haliotis discus hannai)",,24,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
960,Ibaraki,"12 July, 2011",Ibaraki,,"Shore of
Oarai town","11 July, 2011",________,,"Northern sea urchin
(Strongylocentrotus nudus)",,36,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
961,Ibaraki,"13 July, 2011",Ibaraki,,"Hinuma River
(inland waters)","11 July, 2011",______,,"Brackish-water  clam
(Corbicula japonica)",,19,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
962,Tochigi,"13 July, 2011",Tochigi,,Motegi Town (Nakagawa River) (inland waters),"8 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,189,Not detectable,,Private inspection facility,,,
963,Tochigi,"13 July, 2011",Tochigi,,"Nasu-karasuyama
City
(Nakagawa River)
(inland waters)","8 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,240,Not detectable,,Private inspection facility,,,
964,Tochigi,"13 July, 2011",Tochigi,,Oyama City (Omoi River) (inland waters),"8 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,97,Not detectable,,Private inspection facility,,,
965,Tochigi,"13 July, 2011",Tochigi,,Utsunomiya City (Kinugawa River) (inland waters),"12 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,137,Not detectable,,Private inspection facility,,,
966,Tochigi,"13 July, 2011",Tochigi,,Ashikaga City (Watarase River) (inland waters),"8 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,250,Not detectable,,Private inspection facility,,,
967,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Japanese sandlance
(Ammodytes personatus)",,174,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
968,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,Whitebait,,42,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
969,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,Whitebait,,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
970,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,720,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
971,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Stone flounder
(Kareius bicoloratus)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
972,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Goldeye rockfish
(Sebastes thompsoni)",,210,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
973,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",________,,"Striped jewfish
(Stereolepis doederleini)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
974,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",_______,,"Anchovy
(Engraulis japonicus)",,74,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
975,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,137,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
976,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",_____,,"Monkfish
(Lophius litulon)",,52,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
977,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Coho salmon
(Oncorhynchus kisutsh)",,73,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
978,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",______,,"Ocellate spot skate
(Okamejei kenojei )",,920,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
979,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Drum
(Argyrosomus argentatus)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
980,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Crimson sea bream
(Evynnis japonica)",,17,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
981,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
982,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,720,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
983,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,330,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
984,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,230,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
985,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,74,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
986,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,760,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
987,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
988,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,113,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
989,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Gurnard
(Chelidonichthys spinosus)",,340,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
990,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",,111,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
991,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,127,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
992,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,270,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
993,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,230,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
994,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,270,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
995,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",___,,"Flathead
(Platycephalus sp.)",,138,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
996,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"5 July, 2011",_____,,"Shotted halibut
(Eopsetta grigorjewi )",,52,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
997,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Shotted halibut
(Eopsetta grigorjewi )",,117,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
998,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",______,,"Ridged-eye flounder
(Pleuronichthys cornutus)",,182,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
999,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",_____,,"Surf clam
(Pseudocardium sachalinense)",,450,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1000,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",___,,"Abalone
(Haliotis sp.)",,139,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1001,Fukushima,"13 July, 2011",Fukushima,,Iwaki City,"11 July, 2011",________,,"Northern sea urchin
(Strongylocentrotus nudus)",,550,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1002,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",_____,,"Monkfish
(Lophius litulon)",,28,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1003,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,34,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1004,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",____,,"Conger eel
(Conger myriaster)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1005,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",_____,,"Rikuzen flounder
(Dexistes rikuzenius)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1006,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",________,,"Willowy flounder
(Tanakius kitaharai)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1007,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",____,,"Giant Pacific octopus
(Paroctopus dofleini)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1008,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1009,Fukushima,"13 July, 2011",Fukushima,,Mimami-soma City,"11 July, 2011",_____,,"Sea cucumber
(Parastichopus gripunctatus
)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1010,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",____,,"Japanese sandlance
(Ammodytes personatus)",,82,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1011,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,132,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1012,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,140,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1013,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,121,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1014,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",________,,"Brown hakeling
(Physiculus maximowiczi)",,95,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1015,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",____,,"Southern mackerel
(Scomber australasicus)",,68,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1016,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",_____,,"Rockfish
(Sebastes cheni)",,159,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1017,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",_____,,"Rockfish
(Sebastes cheni)",,194,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1018,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",_____,,"Slime flounder
(Microstomus achne)",,62,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1019,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,88,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1020,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,69,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1021,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,81,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1022,Fukushima,"13 July, 2011",Fukushima,,Soma City,"7 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,186,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1023,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",___,,"Chub mackerel
(Scomber japonicus)",,54,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1024,Fukushima,"13 July, 2011",Fukushima,,Soma City,"11 July, 2011",____,,"Japanese common sea
cucumber
(Stichopus japonicus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1025,Fukushima,"13 July, 2011",Fukushima,,Fukushima City (Abukuma River) (inland waters),"10 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,89,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1026,Fukushima,"13 July, 2011",Fukushima,,Date City (Abukuma River) (inland waters),"9 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,1610,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1027,Fukushima,"13 July, 2011",Fukushima,,Mishima Town (Agagawa River) (inland waters),"9 July, 2011",_______,,"Whitespotted char(wild)
(Salvelinus leucomaenis)",,200,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1028,Fukushima,"13 July, 2011",Fukushima,,Mishima Town (Agagawa River) (inland waters),"6 July, 2011",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,128,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1029,Fukushima,"13 July, 2011",Fukushima,,Kaneyama Town (Numasawa Lake) (inland waters),"10 July, 2011",________,,"Kokanee(wild)
(Oncorhyunchus nerka)",,80,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1030,Fukushima,"13 July, 2011",Fukushima,,Showa Village (Agagawa River) (inland waters),"9 July, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",,65,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1031,Fukushima,"13 July, 2011",Fukushima,,Tadami Town (Tagokura Lake) (inland waters),"6 July, 2011",______,,"Common carp(wild)
(Cyprinus carpio)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1032,Fukushima,"13 July, 2011",Fukushima,,Tadami Town (Tagokura Lake) (inland waters),"7 July, 2011",_______,,"Whitespotted char(wild)
(Salvelinus leucomaenis)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1033,Fukushima,"13 July, 2011",Fukushima,,Tadami Town (Tagokura Lake) (inland waters),"7 July, 2011",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",,22,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1034,Fukushima,"13 July, 2011",Fukushima,,Tadami Town (Tagokura Lake) (inland waters),"7 July, 2011",_______,,"Japanese dace(wild)
(Tribolodon hakonensis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1035,Fukushima,"13 July, 2011",Fukushima,,"Bandai Town
(inland waters)","7 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1036,Fukushima,"13 July, 2011",Fukushima,,"Koriyama City
(inland waters)","8 July, 2011",______,,"Common carp (farmed)
(Cyprinus carpio)",,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1037,Fukushima,"13 July, 2011",Fukushima,,"Nishigo Village
(inland waters)","8 July, 2011",______(___,,"Peled whitefish(farmed)
(Coregonus peled)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1038,Fukushima,"13 July, 2011",Fukushima,,"Nishigo Village
(inland waters)","8 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1039,Fukushima,"13 July, 2011",Fukushima,,"Nishigo Village
(inland waters)","8 July, 2011",________,,"Rainbow trout (farmed)
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1040,Fukushima,"13 July, 2011",Fukushima,,"Fukushima City
(inland waters)","8 July, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1041,Fukushima,"13 July, 2011",Fukushima,,"Sukagawa City
(inland waters)","11 July, 2011",______,,"Ayu sweetfish(farmed)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
1042,Fukushima,"13 July, 2011",Fukushima,,"Nihonmatsu City
(inland waters)","11 July, 2011",_______,,"Land-locked salmon (farmed)
(Oncorhynchus masou)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
