"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
26,Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,,"Sakura City
(inland waters)","25,March, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,,Private inspection facility,,,
27,Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,,"Sakura City
(inland waters)","25,March, 2011",_______,,"Land-locked salmon(farmed)
(Oncorhynchus masou)",Not detectable,,,,Private inspection facility,,,
28,Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,,"Sakura City
(inland waters)","25,March, 2011",______,,"Ayu sweetfish(farmed)
(Plecoglossus altivelis)",Not detectable,,,,Private inspection facility,,,
29,Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,,"Nikko City
(inland waters)","26,March, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,,Private inspection facility,,,
30,Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,,"Utsunomiya City
(inland waters)","26,March, 2011",______,,"Common carp(farmed)
(Cyprinus carpio)",Not detectable,,,,Private inspection facility,,,
31,Ibaraki,"4,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","1,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,447,,4080,"Hitachi Kyowa Engineering Co., Ltd.",,,
32,Ibaraki,"4,April, 2011",Ibaraki,,"Offshore
Kashima city","31,March, 2011",____,,"Spear squid
(Loligo bleekeri)",Not detectable,,,13,"Hitachi Kyowa Engineering Co., Ltd.",,,
33,Ibaraki,"4,April, 2011",Ibaraki,,"Offshore
Hitachi city","31,March, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,,13,"Hitachi Kyowa Engineering Co., Ltd.",,,
34,Ibaraki,"4,April, 2011",Ibaraki,,"Offshore
Hitachi city","31,March, 2011",___,,"Conger eel
(Conger myriaster)",Not detectable,,,31,"Hitachi Kyowa Engineering Co., Ltd.",,,
35,Ibaraki,"4,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","31,March, 2011",______,,"Conger eel
(Conger myriaster)",Not detectable,,,35,"Hitachi Kyowa Engineering Co., Ltd.",,,
