F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3),,,,,,,,,,,,,,,,,,
SEA1,2012-Oct-07,21:15,0,18.7,33.18,32.2,-123.87,1.7,0.2,bd,-,,,,,,,,,,,,,,,,,,SEA 2011 sampling
SEA2,2012-Oct-11,15:10,0,20.4,33.83,32.71,-130.84,1.7,0.2,bd,-,,,,,,,,,,,,,,,,,,San Diego? To HI?
SEA3,2012-Oct-14,15:25,0,20.4,33.29,33.64,-133.4,1.8,0.2,bd,-,,,,,,,,,,,,,,,,,,no fuku Cs seen in far field
SEA4,2012-Oct-16,18:57,0,21.6,33.82,33.56,-135.44,1.9,0.2,bd,-,,,,,,,,,,,,,,,,,,
SEA5,2012-Oct-18,19:00,0,22.2,34.67,32.9,-137.23,1.7,0.2,bd,-,,,,,,,,,,,,,,,,,,
SEA6,2012-Oct-23,12:20,0,23.2,35.02,30.26,-140.68,1.9,0.2,bd,-,,,,,,,,,,,,,,,,,,
SEA7,2012-Oct-28,20:24,0,24.3,35.45,30.43,-145.75,1.8,0.2,bd,-,,,,,,,,,,,,,,,,,,
SEA8,2012-Nov-04,21:30,0,25.7,35.09,21.39,-152.01,1.4,0.2,bd,-,,,,,,,,,,,,,,,,,,
