F#,Date,time,depth,Temperature,Salinity,Latitude,Longitude,Cs137 (Bq/m^3),Error (±Bq/m^3),Cs134 (Bq/m^3),Error (±Bq/m^3)
MR12-01,6/15/12,,3,5.75,32.87,45.472,159.88,5,0.3,4.1,0.4
MR12-02,6/17/12,,3,7.17,33.06,44,155,4.3,0.5,3.7,0.7
MR12-03,6/19/12,,3,15.59,34.36,37.917,146.417,2.1,0.2,0.8,0.3
MR12-04,6/19/12,,3,15.59,34.36,37.917,146.417,4.3,0.3,2.5,0.5
MR12-05,6/19/12,,3,19.88,34.12,36.365,145.868,5.4,0.5,4.5,0.7
MR12-06,6/20/12,,3,22.39,34.55,35.15,145.283,1.3,0.4,, -   
MR12-08,6/23/12,,3,19.55,34.31,37.635,144.47,2.6,0.4,1.5,0.6
MR12-09,6/23/12,,3,15.75,33.15,37.225,142.597,5.3,0.4,3.7,0.6
MR12-10,6/24/12,,3,17.38,32.21,36.898,140.888,43.8,1.5,42.9,1.7
MR12-11,6/28/12,,3,23.01,34.38,30,145,3.3,0.4,2,0.6
MR12-12,7/3/12,,3,23.03,34.50,32.303,144.442,1.6,0.2,, -   
MR12-13,7/5/12,,3,23.12,34.41,34.898,142.673,1.7,0.2,, -   
MR12-14,7/6/12,,3,25.79,34.05,35.998,141.868,1.2,0.2,, -   
MR12-15,7/7/12,,3,21.50,32.30,36.493,141.512,15.8,0.8,14.7,1
