,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
2882,Fukushima,"19 October,2011",Fukushima,Soma City,"17 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,63,Not detectable,,"Fukushima Agricultural Technology
Centre",63,ND,demersal,s,f,2011,17
3006,Ibaraki,"20 October,2011",Ibaraki,"Offshore
Hokota city","14 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,88,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",88,ND,demersal,s,f,2011,14
3052,Ibaraki,"24 October,2011",Ibaraki,"Offshore
Kamisu city","17 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,25,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",25,ND,demersal,s,f,2011,17
3090,Fukushima,"26 October,2011",Fukushima,Iwaki City,"24 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,86,Not detectable,,"Fukushima Agricultural Technology
Centre",86,ND,demersal,s,f,2011,24
3135,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"20 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,320,Not detectable,,"Fukushima Agricultural Technology
Centre",320,ND,demersal,s,f,2011,20
3243,Miyagi,"27 October,2011",Miyagi,"Offshore
Miyagi","18 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,15.3,Not detectable,,"Japan Frozen Foods Inspection
Corporation",15.3,ND,demersal,s,f,2011,18
3279,Ibaraki,"29 October,2011",Ibaraki,"Offshore
Kamisu city","24 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",18,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",18,ND,demersal,s,f,2011,24
3412,Fukushima,"2 November ,2011",Fukushima,Soma City,"29 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,148,Not detectable,,"Fukushima Agricultural Technology
Centre",148,ND,demersal,s,f,2011,29
3522,Miyagi,"2 November ,2011",Miyagi,"Offshore
Miyagi","24 October,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,7,Not detectable,,Japan Chemical Analysis Center,7,ND,demersal,s,f,2011,24
3600,Fukushima,"9 November ,2011",Fukushima,Minami-soma City,"5 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,14,Not detectable,,"Fukushima Agricultural Technology
Centre",14,ND,demersal,s,f,2011,5 
3601,Fukushima,"9 November ,2011",Fukushima,Soma City,"5 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,5 
3684,Ibaraki,"9 November ,2011",Ibaraki,"Offshore
Oarai Town","2 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,83,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",83,ND,demersal,s,f,2011,2 
3708,Miyagi,"9 November ,2011",Miyagi,"Offshore
Miyagi","1 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",4.8,,Not detectable,,Japan Chemical Analysis Center,4.8,ND,demersal,s,f,2011,1 
3741,Ibaraki,"11 November ,2011",Ibaraki,"Offshore
Hitachinaka City","9 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,63,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",63,ND,demersal,s,f,2011,9 
3844,Fukushima,"16 November ,2011",Fukushima,Iwaki City,"12 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,112,Not detectable,,"Fukushima Agricultural Technology
Centre",112,ND,demersal,s,f,2011,12
3887,Fukushima,"16 November ,2011",Fukushima,Shinchi Town,"12 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,12
4009,Ibaraki,"18 November ,2011",Ibaraki,"Offshore
Tokai Village","15 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,74,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",74,ND,demersal,s,f,2011,15
4101,Fukushima,"24 November ,2011",Fukushima,Iwaki City,"14 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,6.7,Not detectable,,"Fukushima Agricultural Technology
Centre",6.7,ND,demersal,s,f,2011,14
4134,Fukushima,"24 November ,2011",Fukushima,Soma City,"18 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,16,Not detectable,,"Fukushima Agricultural Technology
Centre",16,ND,demersal,s,f,2011,18
4135,Fukushima,"24 November ,2011",Fukushima,Soma City,"18 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,105,Not detectable,,"Fukushima Agricultural Technology
Centre",105,ND,demersal,s,f,2011,18
4136,Fukushima,"24 November ,2011",Fukushima,Minami-soma City,"18 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,167,Not detectable,,"Fukushima Agricultural Technology
Centre",167,ND,demersal,s,f,2011,18
4350,Fukushima,"30 November ,2011",Fukushima,Iwaki City,"27 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,58,Not detectable,,"Fukushima Agricultural Technology
Centre",58,ND,demersal,s,f,2011,27
4373,Fukushima,"30 November ,2011",Fukushima,Soma City,"26 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,26
4374,Fukushima,"30 November ,2011",Fukushima,Soma City,"26 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,26
4375,Fukushima,"30 November ,2011",Fukushima,Soma City,"26 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,17.4,Not detectable,,"Fukushima Agricultural Technology
Centre",17.4,ND,demersal,s,f,2011,26
4519,Fukushima,"7 December,2011",Fukushima,Iwaki City,"5 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,900,Not detectable,,"Fukushima Agricultural Technology
Centre",900,ND,demersal,s,f,2011,5 
4520,Fukushima,"7 December,2011",Fukushima,Iwaki City,"5 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",55,ND,demersal,s,f,2011,5 
4543,Fukushima,"7 December,2011",Fukushima,Soma City,"2 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,2 
4544,Fukushima,"7 December,2011",Fukushima,Soma City,"2 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",40,ND,demersal,s,f,2011,2 
4596,Miyagi,"7 December,2011",Miyagi,"Offshore
Miyagi","26 November ,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,demersal,s,f,2011,26
4682,Fukushima,"14 December,2011",Fukushima,Iwaki City,"12 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,860,Not detectable,,"Fukushima Agricultural Technology
Centre",860,ND,demersal,s,f,2011,12
4705,Fukushima,"14 December,2011",Fukushima,Namie Town,"10 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,42,Not detectable,,"Fukushima Agricultural Technology
Centre",42,ND,demersal,s,f,2011,10
4899,Fukushima,"21 December,2011",Fukushima,Soma City,"14 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,59,Not detectable,,"Fukushima Agricultural Technology
Centre",59,ND,demersal,s,f,2011,14
4900,Fukushima,"21 December,2011",Fukushima,Naraha Town,"15 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",40,ND,demersal,s,f,2011,15
4901,Fukushima,"21 December,2011",Fukushima,Naraha Town,"15 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,90,Not detectable,,"Fukushima Agricultural Technology
Centre",90,ND,demersal,s,f,2011,15
4902,Fukushima,"21 December,2011",Fukushima,Minami-soma City,"15 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",40,ND,demersal,s,f,2011,15
5122,Fukushima,"28 December,2011",Fukushima,Okuma Town,"21 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,21
5181,Miyagi,"28 December,2011",Miyagi,"Offshore
Miyagi","18 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",3.6,,Not detectable,,Japan Chemical Analysis Center,3.6,ND,demersal,s,f,2011,18
5199,Fukushima,"4 January,2012",Fukushima,Namie Town,"21 December,2011",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2011,21
5320,Fukushima,"18 January,2012",Fukushima,Iwaki City,"15 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,86,Not detectable,,"Fukushima Agricultural Technology
Centre",86,ND,demersal,s,f,2012,15
5321,Fukushima,"18 January,2012",Fukushima,Iwaki City,"16 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,53,Not detectable,,"Fukushima Agricultural Technology
Centre",53,ND,demersal,s,f,2012,16
5346,Fukushima,"18 January,2012",Fukushima,Minami-soma City,"13 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,13
5534,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"18 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,18.4,Not detectable,,"Fukushima Agricultural Technology
Centre",18.4,ND,demersal,s,f,2012,18
5589,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"18 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,18
5590,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"18 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,18
5591,Fukushima,"25 January,2012",Fukushima,Soma City,"19 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,75,Not detectable,,"Fukushima Agricultural Technology
Centre",75,ND,demersal,s,f,2012,19
5745,Fukushima,"1 February,2012",Fukushima,Iwaki City,"25 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",240,ND,demersal,s,f,2012,25
5746,Fukushima,"1 February,2012",Fukushima,Iwaki City,"26 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,790,Not detectable,,"Fukushima Agricultural Technology
Centre",790,ND,demersal,s,f,2012,26
5747,Fukushima,"1 February,2012",Fukushima,Iwaki City,"26 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,120,Not detectable,,"Fukushima Agricultural Technology
Centre",120,ND,demersal,s,f,2012,26
5804,Fukushima,"1 February,2012",Fukushima,Shinchi Town,"25 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,25
5805,Fukushima,"1 February,2012",Fukushima,Shinchi Town,"25 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,25
5863,Miyagi,"1 February,2012",Miyagi,"Offshore
Miyagi","24 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,4,Not detectable,,"Japan Frozen Foods Inspection
Corporation",4,ND,demersal,s,f,2012,24
5872,Miyagi,"1 February,2012",Miyagi,"Offshore
Miyagi","25 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,9.1,Not detectable,,Private inspection facility,9.1,ND,demersal,s,f,2012,25
5973,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,94,Not detectable,,"Fukushima Agricultural Technology
Centre",94,ND,demersal,s,f,2012,5 
5974,Fukushima,"8 February,2012",Fukushima,Iwaki City,"5 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,170,Not detectable,,"Fukushima Agricultural Technology
Centre",170,ND,demersal,s,f,2012,5 
5975,Fukushima,"8 February,2012",Fukushima,Iwaki City,"6 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,320,Not detectable,,"Fukushima Agricultural Technology
Centre",320,ND,demersal,s,f,2012,6 
5976,Fukushima,"8 February,2012",Fukushima,Iwaki City,"6 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,1150,Not detectable,,"Fukushima Agricultural Technology
Centre",1150,ND,demersal,s,f,2012,6 
5977,Fukushima,"8 February,2012",Fukushima,Iwaki City,"6 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,7.7,Not detectable,,"Fukushima Agricultural Technology
Centre",7.7,ND,demersal,s,f,2012,6 
6075,Miyagi,"8 February,2012",Miyagi,"Offshore
Miyagi","29 January,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,6.9,Not detectable,,Japan Chemical Analysis Center,6.9,ND,demersal,s,f,2012,29
6285,Miyagi,"15 February,2012",Miyagi,"Offshore
Miyagi","7 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,4.5,Not detectable,,Private inspection facility,4.5,ND,demersal,s,f,2012,7 
6306,Fukushima,"15 February,2012",Fukushima,Iwaki City,"13 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,87,Not detectable,,"Fukushima Agricultural Technology
Centre",87,ND,demersal,s,f,2012,13
6346,Fukushima,"15 February,2012",Fukushima,Namie Town,"6 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,6 
6347,Fukushima,"15 February,2012",Fukushima,Shinchi Town,"10 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,10
6348,Fukushima,"15 February,2012",Fukushima,Soma City,"10 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,49,Not detectable,,"Fukushima Agricultural Technology
Centre",49,ND,demersal,s,f,2012,10
6349,Fukushima,"15 February,2012",Fukushima,Minami-soma City,"10 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,147,Not detectable,,"Fukushima Agricultural Technology
Centre",147,ND,demersal,s,f,2012,10
6350,Fukushima,"15 February,2012",Fukushima,Minami-soma City,"10 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,10
6428,Ibaraki,"17 February,2012",Ibaraki,"Offshore
Kashima City","13 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,63,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",63,ND,demersal,s,f,2012,13
6513,Fukushima,"22 February,2012",Fukushima,Iwaki City,"14 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,94,Not detectable,,"Fukushima Agricultural Technology
Centre",94,ND,demersal,s,f,2012,14
6514,Fukushima,"22 February,2012",Fukushima,Iwaki City,"16 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,49,Not detectable,,"Fukushima Agricultural Technology
Centre",49,ND,demersal,s,f,2012,16
6515,Fukushima,"22 February,2012",Fukushima,Iwaki City,"19 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,208,Not detectable,,"Fukushima Agricultural Technology
Centre",208,ND,demersal,s,f,2012,19
6547,Fukushima,"22 February,2012",Fukushima,Soma City,"16 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,70,Not detectable,,"Fukushima Agricultural Technology
Centre",70,ND,demersal,s,f,2012,16
6857,Fukushima,"29 February,2012",Fukushima,Iwaki City,"26 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,260,Not detectable,,"Fukushima Agricultural Technology
Centre",260,ND,demersal,s,f,2012,26
6858,Fukushima,"29 February,2012",Fukushima,Iwaki City,"27 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,237,Not detectable,,"Fukushima Agricultural Technology
Centre",237,ND,demersal,s,f,2012,27
6905,Fukushima,"29 February,2012",Fukushima,Tomioka Town,"20 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,20
6906,Fukushima,"29 February,2012",Fukushima,Soma City,"22 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,35,Not detectable,,"Fukushima Agricultural Technology
Centre",35,ND,demersal,s,f,2012,22
6907,Fukushima,"29 February,2012",Fukushima,Soma City,"22 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,22
6975,Miyagi,"29 February,2012",Miyagi,"Offshore
Miyagi","20 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,3.7,Not detectable,,Private inspection facility,3.7,ND,demersal,s,f,2012,20
6986,Miyagi,"29 February,2012",Miyagi,"Offshore
Miyagi","20-22 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,5.7,Not detectable,,"Japan Frozen Foods Inspection
Corporation",5.7,ND,demersal,s,f,2012,20
7029,Ibaraki,"2 March,2012",Ibaraki,"Offshore
Hitachinaka City","28 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,24,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",24,ND,demersal,s,f,2012,28
7060,Iwate,"2 March,2012",Iwate,"Offshore
Kamaishi City","15 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,demersal,s,f,2012,15
7168,Fukushima,"7 March,2012",Fukushima,Okuma Town,"29 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,26,Not detectable,,"Fukushima Agricultural Technology
Centre",26,ND,demersal,s,f,2012,29
7169,Fukushima,"7 March,2012",Fukushima,Tomioka Town,"29 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",13,ND,demersal,s,f,2012,29
7170,Fukushima,"7 March,2012",Fukushima,Minami-soma City,"29 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,36,Not detectable,,"Fukushima Agricultural Technology
Centre",36,ND,demersal,s,f,2012,29
7171,Fukushima,"7 March,2012",Fukushima,Minami-soma City,"29 February,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,66,Not detectable,,"Fukushima Agricultural Technology
Centre",66,ND,demersal,s,f,2012,29
7404,Fukushima,"14 March,2012",Fukushima,Namie Town,"8 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,8 
7714,Fukushima,"21 March,2012",Fukushima,Soma City,"14 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,23,Not detectable,,"Fukushima Agricultural Technology
Centre",23,ND,demersal,s,f,2012,14
7715,Fukushima,"21 March,2012",Fukushima,Minami-soma City,"14 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,14
7831,Miyagi,"21 March,2012",Miyagi,"Offshore
Miyagi","14 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,2.37,Not detectable,,Japan Chemical Analysis Center,2.37,ND,demersal,s,f,2012,14
7886,Ibaraki,"23 March,2012",Ibaraki,"Offshore
Hitachinaka City","20 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,66,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",66,ND,demersal,s,f,2012,20
8003,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Hitachi City","20 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",22,,Not detectable,,Japan Chemical Analysis Center,22,ND,demersal,s,f,2012,20
8004,Ibaraki,"26 March,2012",Ibaraki,"Offshore
Kashima City","20 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",33,,Not detectable,,Japan Chemical Analysis Center,33,ND,demersal,s,f,2012,20
8113,Fukushima,"28 March,2012",Fukushima,Namie Town,"22 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,demersal,s,f,2012,22
8114,Fukushima,"28 March,2012",Fukushima,Minami-somaCity,"22 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",12,ND,demersal,s,f,2012,22
8196,Iwate,"27 March,2012",Iwate,"Offshore
Kamaishi City","15 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,demersal,s,f,2012,15
8399,Ibaraki,"30 March,2012",Ibaraki,"Offshore
Takahagi City","25 March,2012",________,"Brown hakeling
(Physiculus  maximowiczi)",,24,Not detectable,,Private inspection facility,24,ND,demersal,s,f,2012,25
231,Ibaraki,"8 May, 2011",Ibaraki,"Offshore
Kashima City","6 May, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,224,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",224,ND,demersal,s,f,2011,6 
541,Fukushima,"9 June, 2011",Fukushima,Iwaki City,"6 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,"1,150",Not detectable,,Japan Chemical Analysis  Center,1150,ND,demersal,s,f,2011,6 
626,Fukushima,"16 June, 2011",Fukushima,Iwaki City,"13 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,890,Not detectable,,Japan Chemical Analysis  Center,890,ND,demersal,s,f,2011,13
689,Fukushima,"22 June, 2011",Fukushima,Iwaki City,"20 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,177,Not detectable,,"Fukushima Agricultural Technology
Centre",177,ND,demersal,s,f,2011,20
771,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"21 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,72,Not detectable,,"Fukushima Agricultural Technology
Centre",72,ND,demersal,s,f,2011,21
772,Fukushima,"29 June, 2011",Fukushima,Iwaki City,"27 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,136,Not detectable,,"Fukushima Agricultural Technology
Centre",136,ND,demersal,s,f,2011,27
820,Fukushima,"29 June, 2011",Fukushima,Minami-soma City,"27 June, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,107,Not detectable,,"Fukushima Agricultural Technology
Centre",107,ND,demersal,s,f,2011,27
1014,Fukushima,"13 July, 2011",Fukushima,Soma City,"11 July, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,95,Not detectable,,"Fukushima Agricultural Technology
Centre",95,ND,demersal,s,f,2011,11
1101,Fukushima,"20 July, 2011",Fukushima,Soma City,"15 July, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,107,Not detectable,,"Fukushima Agricultural Technology
Centre",107,ND,demersal,s,f,2011,15
1147,Fukushima,"27 July, 2011",Fukushima,Iwaki City,"25 July, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,1540,Not detectable,,"Fukushima Agricultural Technology
Centre",1540,ND,demersal,s,f,2011,25
1268,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"26 July, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,150,Not detectable,,"Fukushima Agricultural Technology
Centre",150,ND,demersal,s,f,2011,26
1384,Fukushima,"10 August, 2011",Fukushima,Soma City,"8 August, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,35,Not detectable,,"Fukushima Agricultural Technology
Centre",35,ND,demersal,s,f,2011,8 
1530,Fukushima,8/24/11,Fukushima,Iwaki City,8/22/11,________,"Brown hakeling
(Physiculus maximowiczi)",,710,Not detectable,,"Fukushima Agricultural Technology
Centre",710,ND,demersal,s,f,0777,40
1531,Fukushima,8/24/11,Fukushima,Iwaki City,8/21/11,________,"Brown hakeling
(Physiculus maximowiczi)",,153,Not detectable,,"Fukushima Agricultural Technology
Centre",153,ND,demersal,s,f,0776,40
1561,Fukushima,"24 August, 2011",Fukushima,Minami-soma City,"22 August, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,420,Not detectable,,"Fukushima Agricultural Technology
Centre",420,ND,demersal,s,f,2011,22
1562,Fukushima,"24 August, 2011",Fukushima,Minami-soma City,"22 August, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,40,Not detectable,,"Fukushima Agricultural Technology
Centre",40,ND,demersal,s,f,2011,22
1645,Fukushima,"31 August, 2011",Fukushima,Iwaki City,"29 August, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,116,Not detectable,,"Fukushima Agricultural Technology
Centre",116,ND,demersal,s,f,2011,29
1664,Fukushima,"31 August, 2011",Fukushima,Minami-soma City,"29 August, 2011",________,"Brown hakeling
(Physiculus maximowiczi)",,65,Not detectable,,"Fukushima Agricultural Technology
Centre",65,ND,demersal,s,f,2011,29
1739,Ibaraki,"5 September,2011",Ibaraki,"Offshore
Hitachi City","1 September,2011",________,"Brown hakeling
(Physiculus maximowiczi)",,540,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",540,ND,demersal,s,f,2011,1 
1804,Ibaraki,"6 September,2011",Ibaraki,"Offshore
Kashima City","5 September,2011",________,"Brown hakeling
(Physiculus maximowiczi)",,69,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",69,ND,demersal,s,f,2011,5 
1951,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",________,"Brown hakeling
(Physiculus maximowiczi)",,190,Not detectable,,"Fukushima Agricultural Technology
Centre",190,ND,demersal,s,f,2011,10
2080,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",________,"Brown hakeling
(Physiculus maximowiczi)",,1770,Not detectable,,"Fukushima Agricultural Technology
Centre",1770,ND,demersal,s,f,2011,15
2265,Fukushima,"28 September,2011",Fukusima,Soma City,"26 September,2011",________,"Brown hakeling
(Physiculus maximowiczi)",,164,Not detectable,,"Fukushima Agricultural Technology
Centre",164,ND,demersal,s,f,2011,26
8188,Iwate,"27 March,2012",Iwate,"Offshore
Kamaishi City","15 March,2012",_____,"White-edged rockfish
(Sebastes taczanowskii)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,demersal,s,f,2012,15
2883,Fukushima,"19 October,2011",Fukushima,Hirono Town,"17 October,2011",________,"Striped jewfish
(Stereolepis  doederleini)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",55,ND,demersal,s,f,2011,17
