,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
1264,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,470,Not detectable,,"Fukushima Agricultural Technology
Centre",470,ND,demersal,s,f,2011,1 
1307,Fukushima,"3 August, 2011",Fukushima,Mimami-soma City,"1 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",290,ND,demersal,s,f,2011,1 
1381,Fukushima,"10 August, 2011",Fukushima,Mimami-soma City,"8 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,165,Not detectable,,"Fukushima Agricultural Technology
Centre",165,ND,demersal,s,f,2011,8 
1527,Fukushima,8/24/11,Fukushima,Iwaki City,8/22/11,____,"Fat greenling
(Hexagrammos otakii)",,750,Not detectable,,"Fukushima Agricultural Technology
Centre",750,ND,demersal,s,f,0777,40
1528,Fukushima,8/24/11,Fukushima,Iwaki City,8/22/11,____,"Fat greenling
(Hexagrammos otakii)",,189,Not detectable,,"Fukushima Agricultural Technology
Centre",189,ND,demersal,s,f,0777,40
1557,Fukushima,"24 August, 2011",Fukushima,Shinchi Town,"22 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,121,Not detectable,,"Fukushima Agricultural Technology
Centre",121,ND,demersal,s,f,2011,22
1558,Fukushima,"24 August, 2011",Fukushima,Minami-soma City,"22 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,170,Not detectable,,"Fukushima Agricultural Technology
Centre",170,ND,demersal,s,f,2011,22
1559,Fukushima,"24 August, 2011",Fukushima,Minami-soma City,"22 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,158,Not detectable,,"Fukushima Agricultural Technology
Centre",158,ND,demersal,s,f,2011,22
1641,Fukushima,"31 August, 2011",Fukushima,Iwaki City,"29 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,102,Not detectable,,"Fukushima Agricultural Technology
Centre",102,ND,demersal,s,f,2011,29
1642,Fukushima,"31 August, 2011",Fukushima,Iwaki City,"29 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,400,Not detectable,,"Fukushima Agricultural Technology
Centre",400,ND,demersal,s,f,2011,29
1660,Fukushima,"31 August, 2011",Fukushima,Soma City,"29 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,160,Not detectable,,"Fukushima Agricultural Technology
Centre",160,ND,demersal,s,f,2011,29
1661,Fukushima,"31 August, 2011",Fukushima,Minami-soma City,"29 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",41,ND,demersal,s,f,2011,29
